level	batch	reading_id	word	reading	meaning	han_viet
n1_basic_drafts	batch_0521_0530	R_0521	耽美主義	たんびしゅぎ	chủ nghĩa duy mỹ, aestheticism	Đam Mĩ Chủ Nghĩa
n1_basic_drafts	batch_0521_0530	R_0521	到達点	とうたつてん	điểm đạt đến, đỉnh cao	Đáo Đạt Điểm
n1_basic_drafts	batch_0521_0530	R_0521	逆転	ぎゃくてん	đảo ngược, sự đổi chiều	Nghịch Chuyển
n1_basic_drafts	batch_0521_0530	R_0521	憧憬	どうけい	khát vọng, sự ngưỡng mộ	Sung Kính
n1_basic_drafts	batch_0521_0530	R_0521	具現化	ぐげんか	hiện thân hóa, cụ thể hóa	Cụ Hiện Hóa
n1_basic_drafts	batch_0521_0530	R_0521	溶解	ようかい	tan chảy, hòa tan	Dong Giải
n1_basic_drafts	batch_0521_0530	R_0521	告白体	こくはくたい	thể tự bạch, hình thức tự thú	Cáo Bạch Thể
n1_basic_drafts	batch_0521_0530	R_0521	歪んだ	ゆがんだ	lệch lạc, méo mó, biến dạng	Oai
n1_basic_drafts	batch_0521_0530	R_0521	分かちがたく	わかちがたく	không thể tách rời	Phân
n1_basic_drafts	batch_0521_0530	R_0521	二項対立	にこうたいりつ	sự đối lập nhị phân, binary opposition	Nhị Hạng Đối Lập
n1_basic_drafts	batch_0521_0530	R_0521	肉感性	にくかんせい	tính nhục cảm, tính gợi cảm thể xác	Nhục Cảm Tính
n1_basic_drafts	batch_0521_0530	R_0521	凝縮	ぎょうしゅく	cô đọng, nén chặt	Ngưng Súc
n1_basic_drafts	batch_0521_0530	R_0521	稀有	けう	hiếm có, kỳ lạ đặc biệt	Hi Hữu
n1_basic_drafts	batch_0521_0530	R_0521	通底する	つうていする	xuyên suốt bên dưới, chia sẻ nền tảng chung	Thông Để
n1_basic_drafts	batch_0521_0530	R_0521	浮き彫り	うきぼり	nổi bật, được làm nổi lên rõ ràng	Phù Điêu
n1_basic_drafts	batch_0521_0530	R_0521	ファム・ファタール	ファム・ファタール	femme fatale, phụ nữ định mệnh (từ tiếng Pháp)	
n1_basic_drafts	batch_0521_0530	R_0522	批評家	ひひょうか	nhà phê bình	Phê Bình Gia
n1_basic_drafts	batch_0521_0530	R_0522	主著	しゅちょ	tác phẩm chính, trước tác chủ yếu	Chủ Trứ
n1_basic_drafts	batch_0521_0530	R_0522	装置	そうち	thiết chế, bộ máy, cơ chế	Trang Trí
n1_basic_drafts	batch_0521_0530	R_0522	絡み合い	からみあい	sự đan xen, sự vướng víu vào nhau	Lạc Hợp
n1_basic_drafts	batch_0521_0530	R_0522	座標	ざひょう	tọa độ (ẩn dụ: điểm tham chiếu tư tưởng)	Tọa Tiêu
n1_basic_drafts	batch_0521_0530	R_0522	批判哲学	ひはんてつがく	triết học phê phán (của Kant)	Phê Phán Triết Học
n1_basic_drafts	batch_0521_0530	R_0522	三位一体	さんみいったい	tam vị nhất thể, ba trong một	Tam Vị Nhất Thể
n1_basic_drafts	batch_0521_0530	R_0522	内面性	ないめんせい	tính nội tâm, nội tính	Nội Diện Tính
n1_basic_drafts	batch_0521_0530	R_0522	逆説	ぎゃくせつ	nghịch lý, paradox	Nghịch Thuyết
n1_basic_drafts	batch_0521_0530	R_0522	客体化	きゃくたいか	khách thể hóa, biến thành đối tượng	Khách Thể Hóa
n1_basic_drafts	batch_0521_0530	R_0522	自己言及	じこげんきゅう	tự quy chiếu, tự đề cập đến bản thân	Tự Kỉ Ngôn Cập
n1_basic_drafts	batch_0521_0530	R_0522	術語	じゅつご	thuật ngữ chuyên môn	Thuật Ngữ
n1_basic_drafts	batch_0521_0530	R_0522	恣意的	しいてき	tùy tiện, tự ý không có cơ sở	Tư Ý Đích
n1_basic_drafts	batch_0521_0530	R_0522	乖離	かいり	sự cách biệt, sự phân ly	Quai Li
