level	batch	reading_id	word	reading	meaning	han_viet
n3_advanced_drafts	batch_0241_0250	R_0241	少子高齢化	しょうしこうれいか	tình trạng sinh ít, già hóa dân số	Thiểu Tử Cao Linh Hóa
n3_advanced_drafts	batch_0241_0250	R_0241	社会保障	しゃかいほしょう	an sinh xã hội	Xã Hội Bảo Chướng
n3_advanced_drafts	batch_0241_0250	R_0241	政策立案	せいさくりつあん	hoạch định chính sách	Chánh Sách Lập Án
n3_advanced_drafts	batch_0241_0250	R_0241	生活実態	せいかつじったい	thực trạng cuộc sống	Sanh Hoạt Thực Thái
n3_advanced_drafts	batch_0241_0250	R_0241	拡充	かくじゅう	mở rộng, tăng cường	Khuếch Sung
n3_advanced_drafts	batch_0241_0250	R_0241	無償化	むしょうか	miễn phí hóa, không mất phí	Vô Thường Hóa
n3_advanced_drafts	batch_0241_0250	R_0241	財政	ざいせい	tài chính (nhà nước)	Tài Chánh
n3_advanced_drafts	batch_0241_0250	R_0241	段階的	だんかいてき	theo từng giai đoạn	Đoạn Giai Đích
n3_advanced_drafts	batch_0241_0250	R_0241	実効性	じっこうせい	hiệu quả thực tế, tính thực thi	Thực Hiệu Tính
n3_advanced_drafts	batch_0241_0250	R_0241	持続可能	じぞくかのう	bền vững, có thể duy trì lâu dài	Trì Tục Khả Năng
n3_advanced_drafts	batch_0241_0250	R_0242	山積み	やまづみ	chồng chất, đống như núi	San Tích
n3_advanced_drafts	batch_0241_0250	R_0242	締め切り	しめきり	hạn chót, deadline	Đế Thiết
n3_advanced_drafts	batch_0241_0250	R_0242	愚痴	ぐち	lời ca thán, nỗi lòng bức bối	Ngu Si
n3_advanced_drafts	batch_0241_0250	R_0242	漂う	ただよう	lan tỏa, phảng phất, lơ lửng	Phiếu
n3_advanced_drafts	batch_0241_0250	R_0242	消耗	しょうもう	kiệt sức, hao mòn	Tiêu Háo
n3_advanced_drafts	batch_0241_0250	R_0242	限界	げんかい	giới hạn	Hạn Giới
n3_advanced_drafts	batch_0241_0250	R_0242	焦り	あせり	sự nôn nóng, bứt rứt	Tiêu
n3_advanced_drafts	batch_0241_0250	R_0242	向き合う	むきあう	đối mặt, đối diện (với cảm xúc)	Hướng Hợp
n3_advanced_drafts	batch_0241_0250	R_0242	意識的	いしきてき	có ý thức, chủ động	Ý Thức Đích
n3_advanced_drafts	batch_0241_0250	R_0242	深呼吸	しんこきゅう	thở sâu	Thâm Hô Hấp
n3_advanced_drafts	batch_0241_0250	R_0243	遺産	いさん	di sản	Di Sản
n3_advanced_drafts	batch_0241_0250	R_0243	結晶化	けっしょうか	sự kết tinh, trở thành tinh chất	Kết Tinh Hóa
n3_advanced_drafts	batch_0241_0250	R_0243	担い手	にないて	người kế thừa, người gánh vác	Đam Thủ
n3_advanced_drafts	batch_0241_0250	R_0243	後継者	こうけいしゃ	người kế thừa, người nối nghiệp	Hậu Kế Giả
n3_advanced_drafts	batch_0241_0250	R_0243	形骸化	けいがいか	hình thức hóa, trở thành vỏ rỗng	Hình Hai Hóa
n3_advanced_drafts	batch_0241_0250	R_0243	共生	きょうせい	cộng sinh, cùng tồn tại	Cộng Sanh
n3_advanced_drafts	batch_0241_0250	R_0243	鍛錬	たんれん	rèn luyện, mài giũa	Đoán Luyện
n3_advanced_drafts	batch_0241_0250	R_0243	対抗軸	たいこうじく	trục đối kháng, lực đối trọng	Đối Kháng Trục
n3_advanced_drafts	batch_0241_0250	R_0243	存続	そんぞく	sự tồn tục, tiếp tục tồn tại	Tồn Tục
n3_advanced_drafts	batch_0241_0250	R_0243	問い直す	といなおす	đặt câu hỏi lại, xem xét lại	Vấn Trực
n3_advanced_drafts	batch_0241_0250	R_0244	批判的思考	ひはんてきしこう	tư duy phản biện	Phê Phán Đích Tư Khảo
n3_advanced_drafts	batch_0241_0250	R_0244	体験学習	たいけんがくしゅう	học tập trải nghiệm	Thể Nghiệm Học Tập
n3_advanced_drafts	batch_0241_0250	R_0244	主体的・対話的で深い学び	しゅたいてき・たいわてきでふかいまなび	học tập chủ động, đối thoại và sâu sắc (khái niệm trọng tâm của chương trình học 2020)	Chủ Thể Đích Đối Thoại Đích Thâm Học
n3_advanced_drafts	batch_0241_0250	R_0244	学習指導要領	がくしゅうしどうようりょう	chương trình giảng dạy (quy định của Bộ Giáo dục)	Học Tập Chỉ Đạo Yếu Lĩnh
n3_advanced_drafts	batch_0241_0250	R_0244	意欲	いよく	tinh thần, ý chí, động lực	Ý Dục
n3_advanced_drafts	batch_0241_0250	R_0244	研修制度	けんしゅうせいど	chế độ đào tạo, bồi dưỡng	Nghiên Tu Chế Độ
n3_advanced_drafts	batch_0241_0250	R_0244	課題解決型	かだいかいけつがた	kiểu giải quyết vấn đề	Khóa Đề Giải Quyết Hình
n3_advanced_drafts	batch_0241_0250	R_0244	雰囲気	ふんいき	bầu không khí, không khí	Phân Vi Khí
n3_advanced_drafts	batch_0241_0250	R_0244	連携	れんけい	hợp tác, phối hợp	Liên Huề
n3_advanced_drafts	batch_0241_0250	R_0244	着実に	ちゃくじつに	vững chắc, từng bước chắc chắn	Trứ Thực
n3_advanced_drafts	batch_0241_0250	R_0244	根本	こんぽん	căn bản, gốc rễ	Căn Bản
n3_advanced_drafts	batch_0241_0250	R_0245	再生可能エネルギー	さいせいかのうエネルギー	năng lượng tái tạo	Tái Sanh Khả Năng
n3_advanced_drafts	batch_0241_0250	R_0245	CO2排出量	シーオーツーはいしゅつりょう	lượng phát thải CO2	Bài Xuất Lượng
n3_advanced_drafts	batch_0241_0250	R_0245	化石燃料	かせきねんりょう	nhiên liệu hóa thạch	Hóa Thạch Nhiên Liêu
n3_advanced_drafts	batch_0241_0250	R_0245	温室効果ガス	おんしつこうかガス	khí nhà kính	Ôn Thất Hiệu Quả
n3_advanced_drafts	batch_0241_0250	R_0245	安定供給	あんていきょうきゅう	cung cấp ổn định	An Định Cung Cấp
n3_advanced_drafts	batch_0241_0250	R_0245	景観	けいかん	cảnh quan	Cảnh Quan
n3_advanced_drafts	batch_0241_0250	R_0245	恩恵	おんけい	lợi ích, ân huệ	Ân Huệ
n3_advanced_drafts	batch_0241_0250	R_0245	技術革新	ぎじゅつかくしん	đổi mới công nghệ	Kĩ Thuật Cách Tân
n3_advanced_drafts	batch_0241_0250	R_0245	エネルギー安全保障	エネルギーあんぜんほしょう	an ninh năng lượng	An Toàn Bảo Chướng
n3_advanced_drafts	batch_0241_0250	R_0245	移行	いこう	chuyển đổi, di chuyển sang	Di Hành
n3_advanced_drafts	batch_0241_0250	R_0246	余裕	よゆう	sự thong thả, thoải mái; khoảng thời gian/tinh thần dư dả	Dư Dụ
n3_advanced_drafts	batch_0241_0250	R_0246	栄養バランス	えいようバランス	cân bằng dinh dưỡng	Vinh Dưỡng
n3_advanced_drafts	batch_0241_0250	R_0246	腹八分目	はらはちぶんめ	ăn no bảy tám phần (không ăn quá no)	Phúc Bát Phân Mục
n3_advanced_drafts	batch_0241_0250	R_0246	生活リズム	せいかつリズム	nhịp sinh hoạt	Sanh Hoạt
n3_advanced_drafts	batch_0241_0250	R_0246	気分転換	きぶんてんかん	giải trí, thay đổi không khí	Khí Phân Chuyển Hoán
n3_advanced_drafts	batch_0241_0250	R_0246	くじける	くじける	bỏ cuộc, nản lòng, khuỵu ngã	
n3_advanced_drafts	batch_0241_0250	R_0246	積み重なる	つみかさなる	tích lũy, chồng chất lên	Tích Trọng
n3_advanced_drafts	batch_0241_0250	R_0246	充実感	じゅうじつかん	cảm giác thỏa mãn, cảm giác sung mãn	Sung Thực Cảm
n3_advanced_drafts	batch_0241_0250	R_0246	規則正しい	きそくただしい	đều đặn, có quy tắc	Quy Tắc Chánh
n3_advanced_drafts	batch_0241_0250	R_0246	集中力	しゅうちゅうりょく	khả năng tập trung	Tập Trung Lực
n3_advanced_drafts	batch_0241_0250	R_0247	優先する	ゆうせんする	ưu tiên	Ưu Tiên
n3_advanced_drafts	batch_0241_0250	R_0247	不可欠	ふかけつ	không thể thiếu, cần thiết	Bất Khả Khiếm
n3_advanced_drafts	batch_0241_0250	R_0247	締め切り	しめきり	thời hạn, hạn chót	Đế Thiết
n3_advanced_drafts	batch_0241_0250	R_0247	リソース	リソース	nguồn lực, tài nguyên	
n3_advanced_drafts	batch_0241_0250	R_0247	分担	ぶんたん	phân công, chia sẻ	Phân Đam
n3_advanced_drafts	batch_0241_0250	R_0247	重複	ちょうふく	trùng lặp, trùng nhau	Trọng Phức
n3_advanced_drafts	batch_0241_0250	R_0247	洗い出す	あらいだす	liệt kê, phát hiện ra, làm rõ	Tẩy Xuất
n3_advanced_drafts	batch_0241_0250	R_0247	アジェンダ	アジェンダ	chương trình nghị sự	
n3_advanced_drafts	batch_0241_0250	R_0247	生産性	せいさんせい	năng suất	Sanh Sản Tính
n3_advanced_drafts	batch_0241_0250	R_0247	有限	ゆうげん	hữu hạn	Hữu Hạn
n3_advanced_drafts	batch_0241_0250	R_0248	配慮する	はいりょする	quan tâm, tôn trọng, chú ý đến	Phối Lự
n3_advanced_drafts	batch_0241_0250	R_0248	使い捨て	つかいすて	dùng một lần rồi bỏ	Sử Xá
n3_advanced_drafts	batch_0241_0250	R_0248	持続可能	じぞくかのう	bền vững, có thể duy trì	Trì Tục Khả Năng
n3_advanced_drafts	batch_0241_0250	R_0248	公共交通機関	こうきょうこうつうきかん	phương tiện giao thông công cộng	Công Cộng Giao Thông Ki Quan
n3_advanced_drafts	batch_0241_0250	R_0248	立ち入り禁止	たちいりきんし	khu vực cấm vào, cấm xâm nhập	Lập Nhập Cấm Chỉ
n3_advanced_drafts	batch_0241_0250	R_0248	振る舞う	ふるまう	cư xử, hành động, xử sự	Chấn Vũ
n3_advanced_drafts	batch_0241_0250	R_0248	野生動物	やせいどうぶつ	động vật hoang dã	Dã Sanh Động Vật
n3_advanced_drafts	batch_0241_0250	R_0248	積み重ね	つみかさね	sự tích lũy, chồng chất	Tích Trọng
n3_advanced_drafts	batch_0241_0250	R_0248	贈り物	おくりもの	món quà	Tặng Vật
n3_advanced_drafts	batch_0241_0250	R_0248	確信する	かくしんする	tin chắc, xác tín	Xác Tín
